column_name,mean,std,min,max,missing_count
Air Temperature,12.618012898230315,10.43921365696009,-29.78,37.6,75
Wet Bulb Temperature,10.270200166112957,9.406844136606269,-28.9,28.4,75981
Humidity,68.02301139112235,15.632282641188622,0.0,100.0,0
Rain Intensity,0.15888205980066444,1.793771475362792,0.0,183.6,75981
Interval Rain,0.14231911437460854,1.0967362856314624,-0.9,63.42,0
Total Rain,141.46099335548175,190.43735027085899,0.0,1056.1,75981
Precipitation Type,4.269476744186046,15.593242471216815,0.0,70.0,75981
Wind Direction,140.79757206654412,122.01827796800205,0.0,359.0,0
Wind Speed,2.9186245105178195,5.340992853260925,0.0,999.9,0
Maximum Wind Speed,3.5563129834352614,5.954282588062208,0.0,999.9,0
Barometric Pressure,994.3158238846282,10.028694352481331,0.0,3098.5,146
Solar Radiation,112.32592766102627,842.6644263010422,-100000.0,1277.0,0
Heading,281.98803986710965,142.75716779446623,0.0,359.0,75981
Battery Life,13.163366618970267,1.5446226329704678,0.0,15.3,0
