Wind Speed,Total Rain,Barometric Pressure,Solar Radiation,Rain Intensity,Wind Direction,Maximum Wind Speed,month
5.1,5.2,986.1,38.0,7.2,119,7.1,4
7.2,2.5,989.9,4.0,0.0,11,13.0,4
1.9,1.4,995.8,780.0,0.0,63,2.8,5
4.0,0.0,990.4,556.0,0.0,4,4.4,5
1.2,0.0,990.4,322.0,0.0,40,1.7,5
1.2,0.0,990.4,322.0,0.0,40,1.7,5
1.5,1.4,995.8,180.0,0.0,124,2.3,5
1.5,1.4,995.8,180.0,0.0,124,2.3,5
2.2,0.0,990.4,174.0,0.0,61,2.5,5
2.2,0.0,990.4,174.0,0.0,61,2.5,5
1.9,1.4,995.8,127.0,0.0,156,3.4,5
1.9,1.4,995.8,127.0,0.0,156,3.4,5
1.9,0.0,990.4,79.0,0.0,115,2.1,5
1.9,0.0,990.4,79.0,0.0,115,2.1,5
1.4,1.4,995.8,67.0,0.0,150,4.5,5
1.4,1.4,995.8,67.0,0.0,150,4.5,5
2.1,0.0,990.4,5.0,0.0,127,2.3,5
2.1,0.0,990.4,5.0,0.0,127,2.3,5
1.1,1.4,995.8,10.0,0.0,155,2.3,5
1.1,1.4,995.8,10.0,0.0,155,2.3,5
1.3,1.4,995.8,2.0,0.0,175,2.5,5
1.3,1.4,995.8,2.0,0.0,175,2.5,5
2.8,0.0,990.4,0.0,0.0,65,3.3,5
2.8,0.0,990.4,0.0,0.0,65,3.3,5
1.8,0.0,990.4,0.0,0.0,81,1.9,5
1.8,0.0,990.4,0.0,0.0,81,1.9,5
1.7,1.4,995.8,3.0,0.0,164,3.5,5
1.7,1.4,995.8,3.0,0.0,164,3.5,5
2.0,0.0,990.4,0.0,0.0,145,2.6,5
2.0,0.0,990.4,0.0,0.0,145,2.6,5
0.7,1.4,995.8,2.0,0.0,155,2.3,5
0.7,1.4,995.8,2.0,0.0,155,2.3,5
3.9,0.0,990.4,355.0,0.0,142,4.2,5
3.9,0.0,990.4,355.0,0.0,142,4.2,5
2.0,1.4,995.8,434.0,0.0,159,3.5,5
2.0,1.4,995.8,434.0,0.0,159,3.5,5
3.7,0.0,990.4,521.0,0.0,137,3.8,5
3.4,0.0,990.4,669.0,0.0,141,3.6,5
3.4,0.0,990.4,669.0,0.0,141,3.6,5
2.3,1.4,995.8,799.0,0.0,155,3.9,5
2.3,1.4,995.8,799.0,0.0,155,3.9,5
1.5,0.0,990.4,769.0,0.0,119,1.8,5
1.5,0.0,990.4,769.0,0.0,119,1.8,5
2.0,1.4,995.8,850.0,0.0,85,2.8,5
2.0,1.4,995.8,850.0,0.0,85,2.8,5
1.8,0.0,990.4,828.0,0.0,136,2.3,5
1.8,0.0,990.4,828.0,0.0,136,2.3,5
2.5,1.4,995.8,900.0,0.0,109,3.8,5
2.5,1.4,995.8,900.0,0.0,109,3.8,5
0.5,0.0,990.4,846.0,0.0,357,0.9,5
0.5,0.0,990.4,846.0,0.0,357,0.9,5
2.2,1.4,995.8,887.0,0.0,137,3.3,5
2.2,1.4,995.8,887.0,0.0,137,3.3,5
0.8,0.0,990.4,725.0,0.0,89,1.4,5
2.0,1.4,995.8,563.0,0.0,136,3.5,5
2.0,1.4,995.8,563.0,0.0,136,3.5,5
1.8,0.0,990.4,602.0,0.0,138,2.1,5
1.8,0.0,990.4,602.0,0.0,138,2.1,5
1.8,0.0,990.4,445.0,0.0,138,2.0,5
1.8,0.0,990.4,445.0,0.0,138,2.0,5
2.0,1.4,995.8,53.0,0.0,147,3.0,5
2.0,1.4,995.8,53.0,0.0,147,3.0,5
1.7,0.0,990.4,279.0,0.0,124,2.8,5
1.7,0.0,990.4,279.0,0.0,124,2.8,5
1.1,1.4,995.8,44.0,0.0,150,3.0,5
1.1,1.4,995.8,44.0,0.0,150,3.0,5
4.3,0.0,990.4,155.0,0.0,136,4.9,5
1.3,1.4,995.8,6.0,0.0,142,3.1,5
1.3,1.4,995.8,6.0,0.0,142,3.1,5
1.9,0.0,990.4,5.0,0.0,136,2.7,5
1.9,0.0,990.4,5.0,0.0,136,2.7,5
1.5,1.4,995.8,0.0,0.0,134,2.5,5
1.5,1.4,995.8,0.0,0.0,134,2.5,5
2.3,0.0,990.4,0.0,0.0,139,2.6,5
2.3,0.0,990.4,0.0,0.0,139,2.6,5
1.1,0.0,990.4,0.0,0.0,152,1.9,5
1.1,0.0,990.4,0.0,0.0,152,1.9,5
1.5,1.4,995.8,0.0,0.0,169,2.2,5
1.5,1.4,995.8,0.0,0.0,169,2.2,5
2.1,0.0,990.4,0.0,0.0,210,2.6,5
2.1,0.0,990.4,0.0,0.0,210,2.6,5
0.8,1.4,995.8,0.0,0.0,118,1.2,5
0.8,1.4,995.8,0.0,0.0,118,1.2,5
3.9,0.0,990.4,0.0,0.0,208,4.5,5
3.9,0.0,990.4,0.0,0.0,208,4.5,5
1.0,1.4,995.8,0.0,0.0,7,1.4,5
1.0,1.4,995.8,0.0,0.0,7,1.4,5
0.4,1.4,995.8,0.0,0.0,49,1.2,5
0.4,1.4,995.8,0.0,0.0,49,1.2,5
2.8,0.0,990.4,0.0,0.0,207,2.9,5
2.8,0.0,990.4,0.0,0.0,207,2.9,5
0.0,1.4,995.8,0.0,0.0,0,0.8,5
0.0,1.4,995.8,0.0,0.0,0,0.8,5
1.8,0.0,990.4,0.0,0.0,199,2.1,5
1.8,0.0,990.4,0.0,0.0,199,2.1,5
0.5,1.4,995.8,0.0,0.0,145,0.7,5
0.5,1.4,995.8,0.0,0.0,145,0.7,5
1.7,0.0,990.4,0.0,0.0,216,2.0,5
1.7,0.0,990.4,0.0,0.0,216,2.0,5
1.2,0.0,990.4,0.0,0.0,138,1.3,5
1.2,0.0,990.4,0.0,0.0,138,1.3,5
0.9,1.4,995.8,0.0,0.0,28,1.3,5
0.9,1.4,995.8,0.0,0.0,28,1.3,5
0.5,1.4,995.8,16.0,0.0,350,1.0,5
0.5,1.4,995.8,16.0,0.0,350,1.0,5
1.1,0.0,990.4,25.0,0.0,171,1.3,5
1.1,0.0,990.4,25.0,0.0,171,1.3,5
2.6,0.0,990.4,58.0,0.0,142,2.8,5
2.6,0.0,990.4,58.0,0.0,142,2.8,5
0.4,1.5,995.8,43.0,0.0,193,0.8,5
0.4,1.5,995.8,43.0,0.0,193,0.8,5
1.1,0.0,990.4,66.0,0.0,121,1.6,5
1.1,0.0,990.4,66.0,0.0,121,1.6,5
0.7,2.5,995.8,59.0,0.0,119,1.1,5
0.7,2.5,995.8,59.0,0.0,119,1.1,5
0.6,2.5,995.8,120.0,0.0,345,1.3,5
2.5,2.6,995.8,251.0,0.0,142,3.8,5
2.5,2.6,995.8,251.0,0.0,142,3.8,5
1.9,0.0,990.4,234.0,0.0,117,2.1,5
1.9,0.0,990.4,234.0,0.0,117,2.1,5
2.1,2.6,995.8,439.0,0.0,147,3.1,5
2.1,2.6,995.8,439.0,0.0,147,3.1,5
1.0,0.0,990.4,308.0,0.0,75,1.2,5
1.0,0.0,990.4,308.0,0.0,75,1.2,5
1.3,0.0,990.4,299.0,0.0,20,1.6,5
1.3,0.0,990.4,299.0,0.0,20,1.6,5
2.3,2.6,995.8,358.0,0.0,145,3.5,5
2.3,2.6,995.8,358.0,0.0,145,3.5,5
1.7,2.6,995.8,226.0,0.0,159,3.1,5
2.8,0.0,990.4,359.0,0.0,85,3.0,5
2.8,0.0,990.4,359.0,0.0,85,3.0,5
1.1,2.6,995.8,266.0,0.0,137,3.0,5
1.1,2.6,995.8,266.0,0.0,137,3.0,5
1.1,0.0,990.4,67.0,0.0,140,1.7,5
1.1,0.0,990.4,67.0,0.0,140,1.7,5
1.0,3.0,995.8,40.0,1.2,147,3.8,5
1.0,3.0,995.8,40.0,1.2,147,3.8,5
1.0,8.9,995.8,47.0,7.2,47,1.4,5
1.0,8.9,995.8,47.0,7.2,47,1.4,5
0.4,0.0,990.4,51.0,0.0,65,0.7,5
0.4,0.0,990.4,51.0,0.0,65,0.7,5
0.8,0.0,990.4,46.0,0.0,330,0.9,5
0.8,0.0,990.4,46.0,0.0,330,0.9,5
0.8,10.6,995.8,38.0,0.0,67,1.1,5
0.8,10.6,995.8,38.0,0.0,67,1.1,5
0.5,10.7,995.8,17.0,0.0,105,1.0,5
0.5,10.7,995.8,17.0,0.0,105,1.0,5
0.9,0.0,990.4,33.0,0.0,105,1.0,5
0.9,0.0,990.4,33.0,0.0,105,1.0,5
2.1,11.1,995.8,4.0,0.0,164,3.4,5
2.4,11.1,995.8,1.0,0.0,148,4.3,5
2.4,11.1,995.8,1.0,0.0,148,4.3,5
2.0,0.0,990.4,0.0,0.0,130,2.1,5
2.0,0.0,990.4,0.0,0.0,130,2.1,5
1.0,11.1,995.8,2.0,0.0,0,1.9,5
1.0,11.1,995.8,2.0,0.0,0,1.9,5
2.9,0.0,990.4,0.0,0.0,163,3.1,5
2.9,0.0,990.4,0.0,0.0,163,3.1,5
0.7,11.1,995.8,0.0,0.0,0,1.9,5
0.7,11.1,995.8,0.0,0.0,0,1.9,5
3.5,0.0,990.4,0.0,0.0,197,3.9,5
3.5,0.0,990.4,0.0,0.0,197,3.9,5
1.4,11.1,995.8,0.0,0.0,65,2.0,5
1.4,11.1,995.8,0.0,0.0,65,2.0,5
5.3,0.0,990.4,0.0,0.0,204,6.1,5
5.3,0.0,990.4,0.0,0.0,204,6.1,5
1.2,11.1,995.8,0.0,0.0,56,2.0,5
1.2,11.1,995.8,0.0,0.0,56,2.0,5
4.1,0.0,990.4,1.0,0.0,210,4.5,5
4.1,0.0,990.4,1.0,0.0,210,4.5,5
6.8,0.0,990.4,0.0,0.0,197,8.1,5
6.8,0.0,990.4,0.0,0.0,197,8.1,5
